p_date,sostype,refer_domain,pv,page_uv
20190615,,www.wrd.cn,22,14
20190615,,124.205.180.98,8,5
20190617,,setting.int800.com,26,2
20190614,,m.sm.cn,11,11
20190619,,www.hcyp.com.cn,2,1
20190620,android,m.gxlhstjt.com,3,2
20190619,iphone,medium.com,3,3
20190616,,www.huaxianiu.com,1,1
20190618,,meitigongxiang.danews.cc,6,1
20190620,,www.link114.cn,7,4
20190619,,www.deviantart.com,1,1
20190618,,test.wangzherongyao.cn,159,5
20190619,iphone,www.google.at,7,6
20190617,android,m.douban.com,2,2
20190618,android,1.1.1.1,1,1
20190616,android,yulin.yuqing.pro,1,1
20190615,,www.ejianmedia.com,139,52
20190614,iphone,www.google.es,17,17
20190619,,baidu.com,1,1
20190620,android,10.133.248.74,1,1
20190620,,data.fiplus.cn,2,2
20190617,iphone,www.google.it,40,36
20190616,,bytedance.feishu.cn,1,1
20190619,,sf-express.com,1,1
20190616,iphone,mobile.gsdata.cn,1,1
20190614,,www.google.com.my,28,26
20190616,,task.www.sogou.com,3,3
20190617,,baike.sogou.com,1,1
20190617,,news.ifeng.com,1,1
20190615,,movie.douban.com,1,1
20190618,android,fj.qq.com,1,1
20190619,,zmt.lesoz.cn,7,1
20190618,,119.23.105.20,1,1
20190616,,internal.yuqing.pro,15,5
20190619,,vip.yunzhu100.com,2,1
20190615,android,10.133.248.74,1,1
20190620,,warning.51wyq.cn,2,2
20190617,android,1.1.100.100,1,1
20190618,,cfw.cf.qq.com,1,1
20190618,,zh.wikipedia.org,5,5
20190617,,www.zhipin.com,1,1
20190617,,zmt.lesoz.cn,12,2
20190618,,dz.sx.yuqing.pro,1,1
20190620,,www.isoyu.com,3,1
20190618,,jc.danews.cc,9,2
20190617,,wukong.webdev.com,1,1
20190619,iphone,quark.sm.cn,114,110
20190616,android,m.image.so.com,1,1
20190614,,aubretiadancestudio.com,1,1
20190617,iphone,m.weibo.cn,22,15
20190614,android,www.dtzhuanjia.com,1,1
20190616,iphone,m.sm.cn,116,107
20190614,,bbs.runbible.cn,3,3
20190616,,www.facebook.com,2,2
20190616,iphone,www.google.com,2637,2384
20190619,,zh.wikipedia.org,6,5
20190614,,knowlesys.qnoddns.org.cn,2,1
20190620,,www.google.ru,2,2
20190617,iphone,www.google.ro,4,2
20190614,android,www.qq.com,1,1
20190620,,baike.baidu.com,1,1
20190616,,yuyangpolice.yuqing.pro,3,1
20190614,,view.inews.qq.com,7,7
20190620,,www.google.ca,75,67
20190615,,kbnews.webdev.com,112,7
20190619,,www.lesongdj.com,1,1
20190614,,feed.theta.sogou.com,1,1
20190614,,www.yuqing.pro,91,25
20190620,android,www.google.com,3593,3342
20190619,android,link.zhihu.com,21,21
20190615,,www.google.com.vn,2,2
20190620,android,172.16.1.2,1,1
20190615,android,zh.m.wikipedia.org,3,3
20190618,iphone,www.wangid.com,6,5
20190620,,lite.push.webdev.com,4,1
20190618,iphone,wxn.qq.com,50,46
20190614,android,10.68.244.90,1,1
20190614,,note.youdao.com,2,1
20190615,,www.google.com,3412,3214
20190618,,ptt.int800.com,3,3
20190620,iphone,zixuncooperation.html5.qq.com,1,1
20190614,,180.97.81.47,1,1
20190618,,704.yuqing.pro,2,1
20190614,,www.9icfp.com,1,1
20190617,iphone,www.google.ru,2,2
20190614,,dongdian.k-it.cn,1,1
20190614,,ialf.blog.fc2.com,1,1
20190616,iphone,kuaibao.qq.com,905,312
20190618,,www.jianshu.com,2,2
20190614,android,172.16.6.253,1,1
20190614,android,w.mail.qq.com,1,1
20190618,iphone,www.google.co.za,1,1
20190619,android,3gimg.qq.com,1,1
20190616,android,news.qq.com,80,64
20190615,,www.meijiequan.com,1,1
20190619,android,news.qq.com,69,56
20190616,android,m.facebook.com,2,2
20190618,,mobi.huigoufang.com,2,1
20190618,,omsui.webdev.com,2,1
20190616,,isp.oa.com,8098,110
20190616,,cq.qq.com,101,87
20190614,,coral.webdev.com,27,7
20190617,,www.google.de,31,31
20190617,android,10.152.1.36,1,1
20190617,,180.97.80.205,2,2
20190614,,stage.hotnews.webdev.com,4,1
20190619,iphone,www.google.ae,1,1
20190619,,www.google.de,14,14
20190620,android,sm.zaax.top,1,1
20190615,,yulin.yuqing.pro,8,1
20190614,,admin.sipaphoto.com,12,4
20190617,android,wapbaike.baidu.com,1,1
20190618,,docs.qq.com,62,19
20190617,,www.meijiehang.com,24,11
20190616,iphone,tw.images.search.yahoo.com,1,1
20190615,,www.wubin.design,1,1
20190620,iphone,yuyangpolice.yuqing.pro,1,1
20190619,,www.hljga.gov.cn,2,2
20190614,iphone,cetacousin.org,1,1
20190616,android,static.scloud.letv.com,1,1
20190618,,zq.jz.sx.topic.yuqing.pro,1,1
20190614,,meijieshu.zhongshang114.com,1,1
20190618,,ga.kz.cq.yuqing.pro,1,1
20190620,,www.baidu.com,13190,12517
20190615,,ln.qq.com,22,22
20190614,android,www.oursteps.com.au,1,1
20190616,,www.google.com.ph,1,1
20190620,android,m.douban.com,7,5
20190620,iphone,mp.weixinbridge.com,4,3
20190614,,dz.sx.yuqing.pro,6,2
20190619,iphone,zixun.html5.qq.com,1,1
20190614,,www.gnet.com.cn,1482,35
20190616,android,zhidao.baidu.com,4,4
20190617,,www.meijiehezi.com,15,9
20190618,,bq.soso.oa.com,16,3
20190615,iphone,www.qq.com,1,1
20190620,android,3.1.1.10,2,2
20190615,,qjq.cq.yuqing.pro,1,1
20190619,iphone,www.google.fr,41,34
20190620,,www.pinterest.it,1,1
20190618,android,www.kbklm.com,1,1
20190616,,www.google.es,1,1
20190619,,mt.chinaz.com,1,1
20190620,,192.168.1.118,1,1
20190614,,baowen.xhh.com,2568,107
20190614,,www.google.ca,85,76
20190617,,docs.qq.com,220,23
20190618,,8989118.com,12,7
20190616,iphone,r.search.yahoo.com,1,1
20190615,,wap.sogou.com,166,155
20190614,,zy.sc.yuqing.pro,1,1
20190616,,vip.kuaimen.bid,1,1
20190618,android,www.shirenmedia.com,1,1
20190614,,www.zhihu.com,1,1
20190616,,bbs.cnhubei.com,1,1
20190617,,weibo.com,1,1
20190619,android,m.sogou.com,8190,7646
20190616,,www.google.ca,79,78
20190615,,baize.com,17,1
20190620,,www.wenzilian.cn,5,2
20190620,,search.nifty.com,1,1
20190616,android,mp.weixin.qq.com,6,6
20190618,android,www.eqsc.gov.cn,4,4
20190615,,topic.itheat.com,3,1
20190614,iphone,www.ucaiyun.com,1,1
20190616,android,h5.youzan.com,2,2
20190620,android,shareinfo.ewrwefg.com,1,1
20190620,iphone,www.google.co.za,1,1
20190617,,om.qq.com,6118,1966
20190616,,hn.qq.com,6,6
20190619,android,s.newsearchers.com,1,1
20190617,,img.so.wjbaike.site,2,2
20190619,,ga.ddk.cq.yuqing.pro,1,1
20190618,,en.wikipedia.org,1,1
20190620,,cq.house.qq.com,2,2
20190616,iphone,www.google.es,49,37
20190619,iphone,wxn.qq.com,43,41
20190617,,www.wenfangge.cn,1,1
20190614,,exmail.qq.com,3,3
20190614,iphone,www.baidu.com,15,14
20190620,,www.openurls.com.cn,489,16
20190617,,ef.zhiweidata.com,7,3
20190620,iphone,www.urlshare.cn,6,5
20190614,,www.openurls.net,3,1
20190617,,fly.cdposs.qq.com,32,3
20190615,,www.bangyiren.com,1,1
20190619,android,mp.weixin.qq.com,6,6
20190617,,lite.push.webdev.com,20,5
20190620,,mkoubei.baidu.com,1,1
20190618,android,pic.sogou.com,11,9
20190620,,user.qzone.qq.com,26,14
20190617,,pzhmiyi.yuqing.pro,1,1
20190617,,3ms.huawei.com,1,1
20190620,,qz.hd.he.yuqing.pro,1,1
20190620,,sohu.com,1,1
20190616,,www.xinwenvip.com,6,3
20190614,android,10.2.2.2,2,2
20190620,,www.pinterest.jp,3,3
20190615,android,10.6.52.240,1,1
20190614,android,192.168.48.1,1,1
20190618,,www.meijiehang.com,20,13
20190620,,gotrip.zjol.com.cn,1,1
20190618,,exec.miaojian.net,3,2
20190617,iphone,api.m.sm.cn,1,1
20190614,,wukong.webdev.com,15,1
20190615,android,www.immomo.com,5,2
20190616,,cop.om.webdev.com,3,1
20190614,iphone,www.google.com.kh,1,1
20190620,,tech.qq.com,2,1
20190620,,www.wobei.org,1,1
20190618,,ga.hs.qy.gs.yuqing.pro,1,1
20190618,android,172.17.255.13,1,1
20190617,,wei90.wangzherongyao.cn,317,9
20190618,android,m.gdt.qq.com,4,4
20190620,,huxian.yuqing.pro,1,1
20190620,android,zixun.html5.qq.com,27,1
20190619,,lite.push.webdev.com,10,3
20190620,,www.lpmy8.cn,1,1
20190615,,ga.wj.sjz.he.yuqing.pro,5,1
20190620,,10.51.143.176,249,1
20190619,,card.weibo.com,1,1
20190616,iphone,www.google.co.kr,25,22
20190616,iphone,mp.weixinbridge.com,3,3
20190614,,casestudy.wsd.com,66,4
20190614,,www.jianshu.com,1,1
20190614,iphone,file686f724d03af.h5sys.cn,1,1
20190620,iphone,m.weibo.cn,18,16
20190620,,linkgou.com,2,2
20190618,iphone,www.google.no,1,1
20190614,,shouqu.me,2,1
20190620,android,www.bianji.net,1,1
20190618,android,jd.weisma.com,1,1
20190615,android,www.google.co.id,1,1
20190617,,cn.bing.com,17,14
20190618,,setting.int800.com,6,2
20190614,iphone,www.urlshare.cn,9,4
20190620,,douban.com,1,1
20190615,,shunya.gstai.com,3,1
20190620,,yq.e23.cn,4,1
20190617,,www.clippinghouse.net,1,1
20190615,,ga.shz.bt.xj.topic.yuqing.pro,2,1
20190618,,jmqmil.sina.cn,1,1
20190616,,view.inews.qq.com,5,5
20190620,,dz.sx.yuqing.pro,2,1
20190616,android,www.dgkqyy.cn,1,1
20190619,,www.da-apple.com,1,1
20190615,,www.meitibijia.com,1,1
20190620,android,zixuncooperation.html5.qq.com,417,397
20190619,android,quark.sm.cn,418,401
20190619,,jmqmil.sina.cn,1,1
20190619,iphone,jmqmil.sina.cn,1,1
20190618,iphone,nativeapp.toutiao.com,3,2
20190616,,snp.oa.com,4,3
20190618,,www.bianji.net,28,12
20190619,,www.google.com.tw,97,89
20190614,android,zh.m.wikipedia.org,1,1
20190617,android,zixun.html5.qq.com,36,2
20190620,,www.yqt365.com,16,6
20190617,,live.qq.com,1,1
20190617,,ty.sx.yuqing.pro,2,1
20190618,,ga.wq.zjk.he.topic.yuqing.pro,1,1
20190615,android,yz.m.sm.cn,9114,8503
20190619,iphone,www.google.com.tw,437,395
20190619,,www.hdpfans.com,3,2
20190619,,news.yunwei.click,1,1
